detected,TP,FP,FN,sensitivity,PPV,DER,timing_mae_ms,fp_in_gap,fp_outside_span,fp_genuine,fp_in_span,fp_frac_in_gap,record,channel,group,gestation_weeks,ref_beats,units,fs,n_gaps,supplementary
645,592,53,0,1.0,0.9178294573643411,0.08952702702702703,3.7263513513513513,52,1,0,52,1.0,ecgca880.edf,Thorax_2,thoracic,25.0,592,mV,1000.0,52,False
647,592,55,0,1.0,0.9149922720247295,0.0929054054054054,10.150337837837839,53,1,1,54,0.9814814814814815,ecgca880.edf,Abdomen_1,abdominal,25.0,592,uV,1000.0,52,False
645,592,53,0,1.0,0.9178294573643411,0.08952702702702703,10.244932432432432,52,1,0,52,1.0,ecgca880.edf,Abdomen_2,abdominal,25.0,592,uV,1000.0,52,False
664,592,72,0,1.0,0.891566265060241,0.12162162162162163,11.287162162162161,54,2,16,70,0.7714285714285715,ecgca880.edf,Abdomen_3,abdominal,25.0,592,uV,1000.0,52,False
646,592,54,0,1.0,0.9164086687306502,0.09121621621621621,10.33614864864865,52,1,1,53,0.9811320754716981,ecgca880.edf,Abdomen_4,abdominal,25.0,592,uV,1000.0,52,False
663,607,56,0,1.0,0.9155354449472096,0.09225700164744646,5.2026359143327845,55,1,0,55,1.0,ecgca886.edf,Thorax_1,thoracic,38.285714285714285,607,mV,1000.0,55,False
663,607,56,0,1.0,0.9155354449472096,0.09225700164744646,2.6359143327841843,55,1,0,55,1.0,ecgca886.edf,Thorax_2,thoracic,38.285714285714285,607,mV,1000.0,55,False
663,607,56,0,1.0,0.9155354449472096,0.09225700164744646,8.621087314662274,55,1,0,55,1.0,ecgca886.edf,Abdomen_1,abdominal,38.285714285714285,607,uV,1000.0,55,False
663,607,56,0,1.0,0.9155354449472096,0.09225700164744646,8.181219110378912,55,1,0,55,1.0,ecgca886.edf,Abdomen_2,abdominal,38.285714285714285,607,uV,1000.0,55,False
663,607,56,0,1.0,0.9155354449472096,0.09225700164744646,6.171334431630972,55,1,0,55,1.0,ecgca886.edf,Abdomen_3,abdominal,38.285714285714285,607,uV,1000.0,55,False
663,607,56,0,1.0,0.9155354449472096,0.09225700164744646,7.663920922570017,55,1,0,55,1.0,ecgca886.edf,Abdomen_4,abdominal,38.285714285714285,607,uV,1000.0,55,False
466,427,39,5,0.9884259259259259,0.9163090128755365,0.10185185185185185,12.37704918032787,37,1,1,38,0.9736842105263158,ecgca896.edf,Thorax_1,thoracic,34.857142857142854,432,mV,1000.0,37,False
463,424,39,8,0.9814814814814815,0.9157667386609071,0.1087962962962963,7.3254716981132075,37,1,1,38,0.9736842105263158,ecgca896.edf,Thorax_2,thoracic,34.857142857142854,432,mV,1000.0,37,False
466,423,43,9,0.9791666666666666,0.907725321888412,0.12037037037037036,10.576832151300236,37,1,5,42,0.8809523809523809,ecgca896.edf,Abdomen_1,abdominal,34.857142857142854,432,uV,1000.0,37,False
217,196,21,236,0.4537037037037037,0.9032258064516129,0.5949074074074074,8.73469387755102,19,0,2,21,0.9047619047619048,ecgca896.edf,Abdomen_2,abdominal,34.857142857142854,432,uV,1000.0,37,False
438,396,42,36,0.9166666666666666,0.9041095890410958,0.18055555555555555,13.191919191919192,35,2,5,40,0.875,ecgca896.edf,Abdomen_3,abdominal,34.857142857142854,432,uV,1000.0,37,False
220,196,24,236,0.4537037037037037,0.8909090909090909,0.6018518518518519,10.627551020408163,19,0,5,24,0.7916666666666666,ecgca896.edf,Abdomen_4,abdominal,34.857142857142854,432,uV,1000.0,37,False
170,158,12,0,1.0,0.9294117647058824,0.0759493670886076,8.234177215189874,11,1,0,11,1.0,ecgca900.edf,Thorax_1,thoracic,22.142857142857142,158,mV,1000.0,11,False
170,158,12,0,1.0,0.9294117647058824,0.0759493670886076,21.772151898734176,11,1,0,11,1.0,ecgca900.edf,Thorax_2,thoracic,22.142857142857142,158,mV,1000.0,11,False
172,158,14,0,1.0,0.9186046511627907,0.08860759493670886,3.974683544303797,11,1,2,13,0.8461538461538461,ecgca900.edf,Abdomen_1,abdominal,22.142857142857142,158,uV,1000.0,11,False
170,158,12,0,1.0,0.9294117647058824,0.0759493670886076,3.7721518987341773,11,1,0,11,1.0,ecgca900.edf,Abdomen_2,abdominal,22.142857142857142,158,uV,1000.0,11,False
172,158,14,0,1.0,0.9186046511627907,0.08860759493670886,6.3164556962025316,11,1,2,13,0.8461538461538461,ecgca900.edf,Abdomen_3,abdominal,22.142857142857142,158,uV,1000.0,11,False
502,474,28,0,1.0,0.9442231075697212,0.05907172995780591,7.339662447257384,28,0,0,28,1.0,ecgca902.edf,Thorax_1,thoracic,23.857142857142858,474,mV,1000.0,28,False
502,474,28,0,1.0,0.9442231075697212,0.05907172995780591,8.128691983122362,28,0,0,28,1.0,ecgca902.edf,Thorax_2,thoracic,23.857142857142858,474,mV,1000.0,28,False
504,472,32,2,0.9957805907172996,0.9365079365079365,0.07172995780590717,10.233050847457626,29,0,3,32,0.90625,ecgca902.edf,Abdomen_1,abdominal,23.857142857142858,474,uV,1000.0,28,False
42,37,5,437,0.07805907172995781,0.8809523809523809,0.9324894514767933,13.972972972972974,1,0,4,5,0.2,ecgca902.edf,Abdomen_2,abdominal,23.857142857142858,474,uV,1000.0,28,False
512,473,39,1,0.9978902953586498,0.923828125,0.08438818565400844,9.323467230443974,30,0,9,39,0.7692307692307693,ecgca902.edf,Abdomen_3,abdominal,23.857142857142858,474,uV,1000.0,28,False
3151,2949,202,0,1.0,0.9358933671850206,0.0684977958630044,10.687690742624618,201,0,1,202,0.995049504950495,ecgca906.edf,Thorax_1,thoracic,40.285714285714285,2949,mV,1000.0,201,False
3152,2949,203,0,1.0,0.9355964467005076,0.0688368938623262,25.452017633095966,201,1,1,202,0.995049504950495,ecgca906.edf,Thorax_2,thoracic,40.285714285714285,2949,mV,1000.0,201,False
