# pcg_capture max4466 pin=39 fs=500 att=11db
# captured 20260905_134318 port=COM8 tag=chest_air_batt_p74
t_us,adc
1948001,1915
1950001,1911
1952001,1913
1954000,1911
1956001,1910
1958001,1910
1960000,1910
1962000,1915
1964000,1913
1966001,1910
1968000,1917
1970001,1911
1972001,1911
1974000,1910
1976000,1911
1978001,1915
1980001,1913
1982000,1911
1984001,1919
1986001,1914
1988000,1901
1990000,1911
1992001,1914
1994000,1910
1996001,1913
1998000,1913
2000000,1914
2002001,1911
2004001,1911
2006001,1909
2008001,1910
2010001,1914
2012001,1911
2014001,1913
2016001,1914
2018001,1911
2020001,1913
2022001,1905
2024001,1914
2026000,1918
2028000,1911
2030001,1913
2032001,1913
2034001,1919
2036000,1915
2038001,1915
2040001,1913
2042001,1912
2044000,1913
2046001,1909
2048001,1910
2050001,1914
2052001,1913
2054000,1904
2056001,1912
2058001,1901
2060001,1913
2062001,1914
2064000,1909
2066001,1917
2068000,1908
2070001,1911
2072001,1914
2074001,1909
2076000,1911
2078001,1913
2080000,1909
2082000,1910
2084001,1917
2086000,1914
2088001,1914
2090001,1914
2092001,1914
2094001,1904
2096000,1912
2098000,1909
2100000,1910
2102001,1915
2104001,1914
2106000,1914
2108000,1917
2110000,1909
2112000,1913
2114000,1919
2116000,1913
2118001,1889
2120001,1912
2122000,1910
2124000,1911
2126000,1909
2128000,1913
2130001,1911
2132001,1914
2134000,1911
2136000,1914
2138001,1914
2140001,1909
2142001,1912
2144001,1910
2146001,1908
2148001,1910
2150001,1911
2152001,1911
2154001,1909
2156000,1911
2158001,1911
2160001,1903
2162001,1913
2164001,1911
2166001,1909
2168000,1911
2170000,1911
2172001,1913
2174001,1914
2176001,1913
2178001,1911
2180001,1913
2182001,1914
2184000,1909
2186001,1915
2188000,1911
2190000,1911
2192000,1913
2194001,1911
2196001,1913
2198000,1917
2200000,1914
2202001,1910
2204001,1914
2206000,1911
2208001,1913
2210001,1914
2212001,1913
2214001,1911
2216001,1914
2218001,1915
2220000,1914
2222000,1911
2224001,1915
2226001,1914
2228001,1911
2230001,1908
2232001,1914
2234001,1914
2236001,1914
2238000,1911
2240001,1915
2242001,1915
2244001,1916
2246001,1911
2248001,1913
2250001,1914
2252001,1911
2254001,1914
2256001,1915
2258001,1915
2260000,1910
2262001,1910
2264000,1913
2266000,1915
2268000,1911
2270000,1911
2272000,1910
2274001,1904
2276000,1911
2278000,1914
2280001,1915
2282000,1914
2284000,1911
2286001,1913
2288000,1914
2290000,1911
2292001,1914
2294001,1911
2296000,1910
2298000,1915
2300000,1916
2302001,1914
2304001,1911
2306001,1911
2308001,1913
2310001,1911
2312001,1909
2314001,1910
2316001,1911
2318001,1882
2320001,1913
2322001,1913
2324001,1915
2326001,1915
2328000,1914
2330001,1914
2332001,1914
2334001,1911
2336001,1923
2338001,1917
2340001,1912
2342001,1915
2344000,1925
2346000,1916
2348001,1911
2350000,1913
2352000,1913
2354000,1910
2356000,1910
2358000,1914
2360000,1921
2362000,1913
2364001,1911
2366001,1915
2368001,1917
2370001,1911
2372001,1913
2374001,1911
2376001,1911
2378001,1920
2380001,1914
2382001,1913
2384000,1915
2386001,1915
2388001,1914
2390001,1911
2392001,1909
2394001,1914
2396001,1914
2398000,1915
2400000,1911
2402000,1911
2404000,1914
2406000,1913
2408000,1913
2410000,1911
2412000,1911
2414000,1915
2416000,1913
2418001,1910
2420001,1891
2422000,1914
2424001,1915
2426001,1913
2428001,1910
2430000,1913
2432000,1913
2434001,1922
2436001,1914
2438001,1910
2440001,1915
2442001,1911
2444001,1917
2446000,1911
2448000,1915
2450001,1911
2452001,1911
2454001,1911
2456001,1912
2458001,1911
2460001,1911
2462001,1909
2464001,1912
2466000,1915
2468001,1911
2470001,1909
2472001,1911
2474001,1910
2476001,1910
2478001,1909
2480001,1907
2482001,1910
2484001,1914
2486000,1911
2488000,1911
2490000,1915
2492000,1915
2494000,1912
2496001,1910
2498001,1913
2500001,1911
2502001,1913
2504001,1915
2506000,1915
2508001,1911
2510001,1915
2512000,1911
2514001,1913
2516000,1914
2518001,1913
2520001,1911
2522000,1914
2524000,1913
2526001,1911
2528001,1911
2530001,1917
2532000,1913
2534000,1911
2536000,1914
2538001,1913
2540001,1913
2542000,1914
2544000,1914
2546000,1913
2548000,1911
2550000,1915
2552001,1911
2554001,1916
2556001,1915
2558001,1917
2560001,1912
2562001,1914
2564001,1913
2566001,1911
2568000,1914
2570000,1914
2572000,1910
2574001,1911
2576001,1910
2578001,1912
2580001,1910
2582000,1914
2584000,1911
2586000,1911
2588001,1913
2590001,1915
2592001,1913
2594000,1911
2596000,1915
2598001,1912
2600001,1914
2602001,1911
2604001,1911
2606000,1913
2608001,1919
2610000,1911
2612001,1911
2614001,1913
2616001,1909
2618001,1910
2620001,1910
2622001,1910
2624000,1910
2626000,1910
2628000,1911
2630000,1911
2632000,1909
2634001,1911
2636001,1917
2638001,1914
2640001,1911
2642001,1908
2644000,1911
2646000,1913
2648000,1913
2650000,1915
2652000,1915
2654001,1914
2656000,1916
2658000,1911
2660001,1911
2662001,1911
2664001,1911
2666001,1915
2668001,1911
2670000,1911
2672001,1914
2674001,1909
2676000,1911
2678000,1911
2680001,1909
2682001,1910
2684001,1911
2686001,1907
2688001,1911
2690001,1911
2692001,1911
2694001,1911
2696001,1913
2698001,1917
2700000,1911
2702000,1911
2704000,1914
2706001,1916
2708001,1910
2710001,1917
2712001,1908
2714001,1911
2716001,1914
2718000,1911
2720001,1909
2722001,1913
2724001,1911
2726001,1909
2728001,1911
2730001,1909
2732000,1910
2734000,1911
2736000,1911
2738000,1913
2740000,1913
2742000,1911
2744000,1911
2746001,1915
2748001,1911
2750001,1911
2752001,1911
2754001,1911
2756001,1913
2758000,1912
2760000,1913
2762001,1914
2764001,1913
2766001,1913
2768001,1914
2770000,1911
2772000,1911
2774000,1913
2776000,1913
2778001,1917
2780001,1911
2782000,1920
2784000,1913
2786000,1913
2788000,1911
2790000,1910
2792000,1915
2794001,1910
2796001,1911
2798001,1911
2800000,1911
2802000,1909
2804001,1911
2806001,1914
2808000,1913
2810000,1911
2812000,1913
2814000,1912
2816001,1911
2818001,1910
2820001,1914
2822001,1907
2824001,1913
2826001,1915
2828001,1911
2830001,1911
2832001,1913
2834001,1917
2836001,1911
2838000,1913
2840001,1914
2842001,1917
2844000,1911
2846000,1914
2848000,1910
2850001,1913
2852000,1916
2854001,1909
2856001,1914
2858001,1916
2860001,1911
2862001,1916
2864001,1913
2866001,1914
2868001,1913
2870001,1914
2872001,1911
2874001,1911
2876000,1909
2878001,1910
2880001,1909
2882001,1911
2884001,1911
2886001,1907
2888000,1913
2890000,1913
2892000,1914
2894001,1910
2896001,1913
2898000,1939
2900000,1912
2902000,1913
2904001,1916
2906001,1909
2908001,1913
2910001,1910
2912001,1911
2914001,1907
2916001,1911
2918001,1911
2920000,1914
2922000,1913
2924000,1915
2926000,1927
2928000,1913
2930000,1914
2932000,1911
2934000,1910
2936000,1911
2938001,1911
2940001,1911
2942000,1913
2944000,1915
2946001,1911
2948000,1911
2950001,1936
2952001,1907
2954001,1911
2956001,1910
2958001,1910
2960000,1913
2962001,1910
2964001,1910
2966001,1914
2968001,1915
2970000,1910
2972001,1911
2974000,1910
2976001,1909
2978000,1911
2980000,1908
2982000,1914
2984000,1909
2986000,1913
2988000,1913
2990000,1915
2992000,1911
2994000,1910
2996000,1910
2998000,1913
3000001,1914
3002001,1915
3004001,1911
3006001,1913
3008001,1911
3010001,1911
3012001,1911
3014000,1908
3016001,1911
3018001,1910
3020001,1913
3022001,1910
3024001,1914
3026001,1914
3028001,1914
3030001,1913
3032000,1915
3034001,1914
3036001,1914
3038001,1911
3040001,1910
3042001,1912
3044001,1913
3046001,1914
3048001,1913
3050001,1914
3052001,1916
3054001,1909
3056001,1911
3058001,1910
3060001,1924
3062001,1919
3064000,1911
3066000,1910
3068000,1914
3070000,1916
3072000,1914
3074000,1913
3076001,1910
3078001,1911
3080001,1908
3082000,1909
3084000,1910
3086000,1910
3088000,1911
3090000,1909
3092001,1914
3094001,1914
3096000,1914
3098000,1914
3100001,1914
3102001,1911
3104001,1911
3106001,1910
3108000,1910
3110001,1911
3112001,1914
3114001,1915
3116001,1913
3118001,1911
3120001,1910
3122001,1911
3124000,1912
3126000,1914
3128001,1912
3130001,1914
3132001,1916
3134001,1913
3136000,1913
3138000,1913
3140000,1914
3142001,1909
3144001,1911
3146001,1909
3148001,1911
3150001,1915
3152001,1911
3154001,1915
3156001,1913
3158001,1911
3160001,1909
3162001,1911
3164001,1911
3166001,1914
3168001,1910
3170001,1911
3172000,1915
3174000,1911
3176000,1912
3178000,1910
3180000,1909
3182000,1911
3184000,1906
3186000,1913
3188000,1914
3190000,1915
3192000,1915
3194000,1914
3196000,1914
3198000,1916
3200000,1914
3202000,1913
3204000,1910
3206000,1910
3208001,1911
3210001,1905
3212001,1914
3214000,1913
3216000,1911
3218000,1914
3220000,1911
3222001,1915
3224001,1913
3226000,1915
3228001,1913
3230000,1909
3232000,1917
3234000,1910
3236001,1914
3238001,1912
3240000,1911
3242000,1914
3244000,1914
3246000,1913
3248000,1911
3250000,1910
3252000,1911
3254000,1913
3256000,1914
3258000,1915
3260000,1909
3262000,1914
3264000,1912
3266000,1910
3268000,1910
3270001,1914
3272001,1914
3274001,1916
3276001,1915
3278001,1914
3280001,1910
3282001,1916
3284001,1907
3286000,1907
3288001,1906
3290001,1911
3292001,1911
3294001,1914
3296001,1913
3298001,1913
3300001,1903
3302001,1913
3304000,1915
3306000,1913
3308000,1913
